epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59906,4.1064,0.43742,0.69872,7.76841,4.1952,0.00212,0.14286,0.00137,0.00027,0.45952,0.14286,0.18746,0.07124,3.00595,0.2603,0.62051,7.8144,2.2997,4e-05,4e-05,4e-05
2,5.04458,3.33524,0.43788,0.74707,7.52099,3.05193,0.00216,0.14286,0.00164,0.00033,0.13731,0.63774,0.20209,0.0699,3.09702,0.27704,0.62359,7.66837,2.32255,9.901e-05,9.901e-05,9.901e-05
3,6.32773,3.17635,0.39761,0.73341,5.35998,3.15842,0.0018,0.14286,0.00212,0.00021,0.04689,0.14286,0.04557,0.02452,3.63262,0.29892,0.62058,6.6097,2.47877,0.000156832,0.000156832,0.000156832
4,7.59331,2.76891,0.2595,0.698,4.57287,2.68734,0.18044,0.14286,0.04311,0.01158,0.38712,0.28571,0.18194,0.10193,3.09093,0.28155,0.61898,3.81851,2.24834,0.000213466,0.000213466,0.000213466
5,8.78071,2.42065,0.27247,0.65426,2.8535,2.5281,0.37553,0.42857,0.30342,0.07997,0.47135,0.57143,0.41195,0.36796,2.99202,0.29103,0.62875,3.31137,2.04966,0.000268912,0.000268912,0.000268912
6,9.95556,2.16181,0.28582,0.61111,2.10157,2.21625,0.1616,0.28571,0.10732,0.02329,0.52459,0.71429,0.71242,0.69604,3.70462,0.31597,0.61378,13.7452,2.68914,0.00032317,0.00032317,0.00032317
7,11.0841,2.14761,0.20189,0.52277,1.96167,2.10402,0.22542,0.28571,0.12891,0.02789,0.46699,0.87737,0.69844,0.67028,3.72277,0.27759,0.5988,10.6829,2.81637,0.00037624,0.00037624,0.00037624
8,12.1844,1.92578,0.19739,0.44438,1.68971,2.01021,0.23881,0.57143,0.18531,0.04547,0.56511,0.93126,0.82,0.78797,3.27692,0.28125,0.58728,7.41999,2.59042,0.000428122,0.000428122,0.000428122
9,13.3282,1.86156,0.23362,0.32557,1.55488,1.93315,0.31983,0.57143,0.52718,0.1265,0.55069,1,0.77532,0.74886,2.94697,0.29635,0.56872,7.77405,2.47651,0.000478816,0.000478816,0.000478816
10,14.5968,1.96358,0.22932,0.3005,1.42567,2.0421,0.79614,0.71429,0.74335,0.1943,0.91223,0.85714,0.9775,0.96586,2.65317,0.29438,0.54023,3.64595,2.26431,0.000528322,0.000528322,0.000528322
11,15.722,1.72083,0.1947,0.26583,1.17181,1.77748,0.78631,0.85714,0.79403,0.17244,0.9593,1,0.995,0.995,2.68387,0.28689,0.5047,3.07029,2.29128,0.00057664,0.00057664,0.00057664
12,16.8402,1.7081,0.2022,0.1861,1.18144,1.74626,0.39795,0.57143,0.41779,0.12031,0.69641,1,0.995,0.995,2.96741,0.30856,0.4704,5.33437,2.77865,0.00062377,0.00062377,0.00062377
13,17.9815,1.68265,0.19395,0.15668,1.22121,1.76486,0.17574,0.14286,0.05509,0.01526,0.8244,1,0.96,0.90882,3.69142,0.29204,0.42068,3.17379,3.91092,0.000669712,0.000669712,0.000669712
14,19.0815,1.51674,0.17274,0.13509,1.19454,1.59855,0.30478,0.28571,0.12326,0.0384,0.98392,1,0.995,0.93653,3.33107,0.28803,0.35677,2.72842,3.45876,0.000714466,0.000714466,0.000714466
15,20.1862,1.65328,0.16784,0.12474,1.20227,1.69184,0.30478,0.28571,0.12326,0.0384,0.98392,1,0.995,0.93653,3.33107,0.28803,0.35677,2.72842,3.45876,0.000758032,0.000758032,0.000758032
16,21.3002,1.86664,0.20899,0.19484,1.16179,1.77072,0.49086,0.57143,0.60557,0.16744,0.86824,1,0.995,0.97909,2.60557,0.26486,0.33525,2.55573,2.42294,0.00080041,0.00080041,0.00080041
17,22.4249,1.66659,0.18386,0.15098,1.19698,1.72224,0.7474,0.85714,0.905,0.22115,0.86378,1,0.995,0.97122,2.55647,0.26444,0.30908,1.38294,2.28517,0.0008416,0.0008416,0.0008416
18,23.5166,1.5463,0.20652,0.19518,1.1237,1.64677,0.7474,0.85714,0.905,0.22115,0.86378,1,0.995,0.97122,2.55647,0.26444,0.30908,1.38294,2.28517,0.000881602,0.000881602,0.000881602
19,24.635,1.6576,0.1821,0.03465,1.28877,1.69096,0.42377,0.85714,0.46857,0.14586,0.77855,0.71429,0.85333,0.83728,2.51003,0.25271,0.27055,2.08534,2.1909,0.000920416,0.000920416,0.000920416
20,25.7209,1.63927,0.16022,0.15257,1.2736,1.68522,0.83034,0.85714,0.84802,0.25537,0.83034,0.85714,0.86896,0.85453,2.46399,0.24389,0.2186,1.40262,2.11701,0.000958042,0.000958042,0.000958042
21,26.8806,1.61407,0.14308,0.0715,1.03661,1.71564,0.83034,0.85714,0.84802,0.25537,0.83034,0.85714,0.86896,0.85453,2.46399,0.24389,0.2186,1.40262,2.11701,0.00099448,0.00099448,0.00099448
22,28.0674,1.49611,0.16585,0.0484,1.02045,1.65677,0.68703,0.71429,0.7689,0.20306,0.82681,0.85714,0.91667,0.91394,2.59585,0.24383,0.16563,1.59951,2.25331,0.00102973,0.00102973,0.00102973
23,29.158,1.54852,0.14067,0.11752,1.00671,1.59817,0.68703,0.71429,0.7689,0.20306,0.82681,0.85714,0.91667,0.91394,2.59585,0.24383,0.16563,1.59951,2.25331,0.00106379,0.00106379,0.00106379
24,30.303,1.55173,0.16688,0.03873,0.91222,1.66024,0.78086,0.71429,0.8242,0.2877,0.96118,0.85714,0.96389,0.9544,2.47075,0.22945,0.12771,2.0521,2.14336,0.00109667,0.00109667,0.00109667
25,31.3978,1.6249,0.16375,0.09188,1.29233,1.66196,0.78086,0.71429,0.8242,0.2877,0.96118,0.85714,0.96389,0.9544,2.47075,0.22945,0.12771,2.0521,2.14336,0.00112835,0.00112835,0.00112835
